sim_case,time_trend,Model,median_error,iqr_error
1,constant,Data,0.14629710902186624,0.23272909296707084
1,constant,LPME,0.07398602276937652,0.12171163433329779
1,constant,PC,0.11796761726976823,0.20551711023070554
1,constant,PME,0.13075903753825197,0.2584794292490198
1,linear,Data,0.14652263690766892,0.23634485003218603
1,linear,LPME,0.07944282194989094,0.13421678300667522
1,linear,PC,0.11656103684806529,0.21225489727320768
1,linear,PME,0.13692571062885445,0.2655029252624429
1,quadratic,Data,0.14521891883088103,0.23342603975420845
1,quadratic,LPME,0.10522109208194261,0.20770586067599217
1,quadratic,PC,0.11831419439865482,0.20904233866373564
1,quadratic,PME,0.1556505004524192,0.3300602620704117
1,sinusoidal,Data,0.14795639517606796,0.22711749498981762
1,sinusoidal,LPME,0.07732606747436929,0.13150536238281663
1,sinusoidal,PC,0.11933383353566004,0.2019296293986331
1,sinusoidal,PME,0.1323203968235197,0.2539798534427665
2,constant,Data,0.4671695660255195,0.6647598041611513
2,constant,LPME,0.2475712598288441,0.46134483989023517
2,constant,PC,0.5644727514215417,0.4193951819276512
2,constant,PME,0.5160302324811581,0.7503505595447517
2,linear,Data,0.47158361254289827,0.6659897555605481
2,linear,LPME,0.2990266112072547,0.4908224580425197
2,linear,PC,0.5639565926345089,0.4128376202188172
2,linear,PME,0.5033099137118412,0.7499646778533087
2,quadratic,Data,0.45225441347265816,0.6659043828473528
2,quadratic,LPME,0.37705887961501894,0.6794468382522829
2,quadratic,PC,0.5523005377098833,0.412466588016479
2,quadratic,PME,0.5078292309953698,0.7507467139299323
2,sinusoidal,Data,0.46601585392532674,0.6596880043669361
2,sinusoidal,LPME,0.25906230913113615,0.46327766299808065
2,sinusoidal,PC,0.5432121985676679,0.403318657101683
2,sinusoidal,PME,0.499606922033621,0.7328878872872147
3,constant,Data,0.2914701679981192,0.6009287319898889
3,constant,LPME,0.2392626948093141,0.5637692557804875
3,constant,PC,0.26432549380049775,0.584188818985118
3,constant,PME,0.31663034777997745,0.640278387128642
3,linear,Data,0.2912605678577789,0.6054984381687505
3,linear,LPME,0.24546037363174136,0.55680599353378
3,linear,PC,0.2640697627768405,0.597588008425378
3,linear,PME,0.30420475003595016,0.6693054593634612
5,constant,Data,4.257198617746436,21.157610008689694
5,constant,LPME,3.294796821836856,12.992660225032429
5,constant,PC,4.216163414559464,21.151189132245896
5,constant,PME,4.231317577922985,21.119776597726702
5,linear,Data,4.778187916351781,21.75927763540214
5,linear,LPME,3.7333505378341307,13.602919857035499
5,linear,PC,4.739866649558763,21.75564439293309
5,linear,PME,4.80176189133922,21.589746057301458
5,quadratic,Data,4.482911644069083,21.098536646783586
5,quadratic,LPME,3.989710005048087,15.569096124087137
5,quadratic,PC,4.452405106194833,21.085090181595913
5,quadratic,PME,5.120951836515333,23.028895575311243
5,sinusoidal,Data,4.667005713032279,20.67007438239458
5,sinusoidal,LPME,3.3557539173031525,13.692164808348032
5,sinusoidal,PC,4.62073491105928,20.66578523101896
5,sinusoidal,PME,4.6759399723126505,20.51377948200154
6,constant,Data,0.8953266198621197,1.3344531266989776
6,constant,LPME,0.5839919140093293,1.0818853696863167
6,constant,PC,0.821060308548761,1.220005003409248
6,constant,PME,0.8937906900296688,1.3623849398101715
